NroRecibo;NumeroCuenta;Codigo;Programa;Periodo;Ano;Apellidos_y_Nombres;Sede;Concepto1;ValorBasico_o_PLM;GastosAdmon;Bienestar;Otros;ConceptoDescuento;ValorDescuento;Procultura;Total;CodigoSede;FechaSinRecargo;ValorSinRecargo;FechaConRecargo;ValorConRecargo;NumeroReferencia
426316;656-03103-6;1457211;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426317;656-03103-6;1457212;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;219520;54880;0;6160;  ;;0;280560;07;1/8/14;280560;8/8/14;308000;
426318;656-03103-6;1457214;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;183440;45860;0;6160;  ;;0;235460;07;1/8/14;235460;8/8/14;258390;
426319;656-03103-6;1457216;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;168960;42240;0;6160;  ;;0;217360;07;1/8/14;217360;8/8/14;238480;
426320;656-03103-6;1457217;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;211520;52880;0;6160;  ;;0;270560;07;1/8/14;270560;8/8/14;297000;
426321;656-03103-6;1457218;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;159440;39860;0;6160;Ex 049 Estim. Sufragio;15944;0;189516;07;1/8/14;189516;8/8/14;209446;
426322;656-03103-6;1457219;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;246400;61600;0;6160;  ;;0;314160;07;1/8/14;314160;8/8/14;344960;
426323;656-03103-6;1457221;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;187760;46940;0;6160;  ;;0;240860;07;1/8/14;240860;8/8/14;264330;
426324;656-03103-6;1457226;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;171840;42960;0;6160;  ;;0;220960;07;1/8/14;220960;8/8/14;242440;
426325;656-03103-6;1457227;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;202640;50660;0;6160;  ;;0;259460;07;1/8/14;259460;8/8/14;284790;
426326;656-03103-6;1457229;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;123200;30800;0;6160;Ex 049 Estim. Sufragio;12320;0;147840;07;1/8/14;147840;8/8/14;163240;
426327;656-03103-6;1457230;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;181600;45400;0;6160;  ;;0;233160;07;1/8/14;233160;8/8/14;255860;
426328;656-03103-6;1457231;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;203680;50920;0;6160;  ;;0;260760;07;1/8/14;260760;8/8/14;286220;
426329;656-03103-6;1457232;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;186000;46500;0;6160;Ex 049 Estim. Sufragio;18600;0;220060;07;1/8/14;220060;8/8/14;243310;
426330;656-03103-6;1457233;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426331;656-03103-6;1457234;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;Ex 049 Estim. Sufragio;18504;0;218956;07;1/8/14;218956;8/8/14;242086;
426332;656-03103-6;1457236;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;175760;43940;0;6160;  ;;0;225860;07;1/8/14;225860;8/8/14;247830;
426333;656-03103-6;1457237;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426334;656-03103-6;1457238;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;202640;50660;0;6160;  ;;0;259460;07;1/8/14;259460;8/8/14;284790;
426335;656-03103-6;1457240;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426336;656-03103-6;1457241;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;158640;39660;0;6160;  ;;0;204460;07;1/8/14;204460;8/8/14;224290;
426337;656-03103-6;1457243;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;188160;47040;0;6160;  ;;0;241360;07;1/8/14;241360;8/8/14;264880;
426338;656-03103-6;1457244;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;186080;46520;0;6160;  ;;0;238760;07;1/8/14;238760;8/8/14;262020;
426339;656-03103-6;1457245;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;168960;42240;0;6160;  ;;0;217360;07;1/8/14;217360;8/8/14;238480;
426340;656-03103-6;1457247;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;202640;50660;0;6160;  ;;0;259460;07;1/8/14;259460;8/8/14;284790;
426341;656-03103-6;1457248;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426342;656-03103-6;1457249;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426343;656-03103-6;1457251;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;199040;49760;0;6160;Ex 049 Estim. Sufragio;19904;0;235056;07;1/8/14;235056;8/8/14;259936;
426344;656-03103-6;1457255;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;168960;42240;0;6160;  ;;0;217360;07;1/8/14;217360;8/8/14;238480;
426345;656-03103-6;1457257;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;174400;43600;0;6160;  ;;0;224160;07;1/8/14;224160;8/8/14;245960;
426346;656-03103-6;1457258;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;174560;43640;0;6160;  ;;0;224360;07;1/8/14;224360;8/8/14;246180;
426347;656-03103-6;1457261;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426348;656-03103-6;1457263;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;142320;35580;0;6160;  ;;0;184060;07;1/8/14;184060;8/8/14;201850;
426349;656-03103-6;1457264;3751;2;2014;XXXX;ZARZAL;MATRICULA BASICA;181600;45400;0;6160;  ;;0;233160;07;1/8/14;233160;8/8/14;255860;
426350;656-03103-6;1457266;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;200480;50120;0;6160;  ;;0;256760;07;1/8/14;256760;8/8/14;281820;
426351;656-03103-6;1457267;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;Ex 049 Estim. Sufragio;18504;0;218956;07;1/8/14;218956;8/8/14;242086;
426352;656-03103-6;1457268;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;181600;45400;0;6160;  ;;0;233160;07;1/8/14;233160;8/8/14;255860;
426353;656-03103-6;1457269;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;206640;51660;0;6160;  ;;0;264460;07;1/8/14;264460;8/8/14;290290;
426354;656-03103-6;1457272;3845;2;2014;XXXX;ZARZAL;MATRICULA BASICA;181600;45400;0;6160;  ;;0;233160;07;1/8/14;233160;8/8/14;255860;
426355;656-03103-6;1457277;3841;2;2014;XXXX;ZARZAL;MATRICULA BASICA;185040;46260;0;6160;  ;;0;237460;07;1/8/14;237460;8/8/14;260590;
426356;656-03103-6;1457279;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;188160;47040;0;6160;Ex 049 Estim. Sufragio;18816;0;222544;07;1/8/14;222544;8/8/14;246064;
426357;656-03103-6;1457280;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;186480;46620;0;6160;  ;;0;239260;07;1/8/14;239260;8/8/14;262570;
426358;656-03103-6;1457281;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;246400;61600;0;6160;  ;;0;314160;07;1/8/14;314160;8/8/14;344960;
426359;656-03103-6;1457282;2712;2;2014;XXXX;ZARZAL;MATRICULA BASICA;181600;45400;0;6160;  ;;0;233160;07;1/8/14;233160;8/8/14;255860;
426360;656-03103-6;1457283;2710;2;2014;XXXX;ZARZAL;MATRICULA BASICA;221120;55280;0;6160;  ;;0;282560;07;1/8/14;282560;8/8/14;310200;
